Scope,Element,Status
NAV,Buy Car,Working (navigated)
NAV,Sell Car,"Not Working (ElementHandle.click: Timeout 3000ms exceeded.
Call log:
  - attempting click action
    2 × waiting for element to be visible, enabled and stable
      - element is visible, enabled and stable
      - scrolling into view if needed
      - done scrolling
      - <div aria-hidden=""true"" class=""MuiBackdrop-root MuiModal-backdrop css-919eu4""></div> from <div role=""presentation"" class=""MuiModal-root css-8ndowl"">…</div> subtree intercepts pointer events
    - retrying click action
    - waiting 20ms
    2 × waiting for element to be visible, enabled and stable
      - element is visible, enabled and stable
      - scrolling into view if needed
      - done scrolling
      - <div aria-hidden=""true"" class=""MuiBackdrop-root MuiModal-backdrop css-919eu4""></div> from <div role=""presentation"" class=""MuiModal-root css-8ndowl"">…</div> subtree intercepts pointer events
    - retrying click action
      - waiting 100ms
    5 × waiting for element to be visible, enabled and stable
      - element is visible, enabled and stable
      - scrolling into view if needed
      - done scrolling
      - <div aria-hidden=""true"" class=""MuiBackdrop-root MuiModal-backdrop css-919eu4""></div> from <div role=""presentation"" class=""MuiModal-root css-8ndowl"">…</div> subtree intercepts pointer events
    - retrying click action
      - waiting 500ms
)"
NAV,Luxury Cars,"Not Working (ElementHandle.click: Timeout 3000ms exceeded.
Call log:
  - attempting click action
    2 × waiting for element to be visible, enabled and stable
      - element is visible, enabled and stable
      - scrolling into view if needed
      - done scrolling
      - <div aria-hidden=""true"" class=""MuiBackdrop-root MuiModal-backdrop css-919eu4""></div> from <div role=""presentation"" class=""MuiModal-root css-8ndowl"">…</div> subtree intercepts pointer events
    - retrying click action
    - waiting 20ms
    2 × waiting for element to be visible, enabled and stable
      - element is visible, enabled and stable
      - scrolling into view if needed
      - done scrolling
      - <div aria-hidden=""true"" class=""MuiBackdrop-root MuiModal-backdrop css-919eu4""></div> from <div role=""presentation"" class=""MuiModal-root css-8ndowl"">…</div> subtree intercepts pointer events
    - retrying click action
      - waiting 100ms
    5 × waiting for element to be visible, enabled and stable
      - element is visible, enabled and stable
      - scrolling into view if needed
      - done scrolling
      - <div aria-hidden=""true"" class=""MuiBackdrop-root MuiModal-backdrop css-919eu4""></div> from <div role=""presentation"" class=""MuiModal-root css-8ndowl"">…</div> subtree intercepts pointer events
    - retrying click action
      - waiting 500ms
)"
NAV,Used Car Loan,"Not Working (ElementHandle.click: Timeout 3000ms exceeded.
Call log:
  - attempting click action
    2 × waiting for element to be visible, enabled and stable
      - element is visible, enabled and stable
      - scrolling into view if needed
      - done scrolling
      - <div aria-hidden=""true"" class=""MuiBackdrop-root MuiModal-backdrop css-919eu4""></div> from <div role=""presentation"" class=""MuiModal-root css-8ndowl"">…</div> subtree intercepts pointer events
    - retrying click action
    - waiting 20ms
    2 × waiting for element to be visible, enabled and stable
      - element is visible, enabled and stable
      - scrolling into view if needed
      - done scrolling
      - <div aria-hidden=""true"" class=""MuiBackdrop-root MuiModal-backdrop css-919eu4""></div> from <div role=""presentation"" class=""MuiModal-root css-8ndowl"">…</div> subtree intercepts pointer events
    - retrying click action
      - waiting 100ms
    5 × waiting for element to be visible, enabled and stable
      - element is visible, enabled and stable
      - scrolling into view if needed
      - done scrolling
      - <div aria-hidden=""true"" class=""MuiBackdrop-root MuiModal-backdrop css-919eu4""></div> from <div role=""presentation"" class=""MuiModal-root css-8ndowl"">…</div> subtree intercepts pointer events
    - retrying click action
      - waiting 500ms
)"
NAV,Car Services,"Not Working (ElementHandle.click: Timeout 3000ms exceeded.
Call log:
  - attempting click action
    2 × waiting for element to be visible, enabled and stable
      - element is visible, enabled and stable
      - scrolling into view if needed
      - done scrolling
      - <div aria-hidden=""true"" class=""MuiBackdrop-root MuiModal-backdrop css-919eu4""></div> from <div role=""presentation"" class=""MuiModal-root css-8ndowl"">…</div> subtree intercepts pointer events
    - retrying click action
    - waiting 20ms
    2 × waiting for element to be visible, enabled and stable
      - element is visible, enabled and stable
      - scrolling into view if needed
      - done scrolling
      - <div aria-hidden=""true"" class=""MuiBackdrop-root MuiModal-backdrop css-919eu4""></div> from <div role=""presentation"" class=""MuiModal-root css-8ndowl"">…</div> subtree intercepts pointer events
    - retrying click action
      - waiting 100ms
    5 × waiting for element to be visible, enabled and stable
      - element is visible, enabled and stable
      - scrolling into view if needed
      - done scrolling
      - <div aria-hidden=""true"" class=""MuiBackdrop-root MuiModal-backdrop css-919eu4""></div> from <div role=""presentation"" class=""MuiModal-root css-8ndowl"">…</div> subtree intercepts pointer events
    - retrying click action
      - waiting 500ms
)"
NAV,My Cars,"Not Working (ElementHandle.click: Timeout 3000ms exceeded.
Call log:
  - attempting click action
    2 × waiting for element to be visible, enabled and stable
      - element is visible, enabled and stable
      - scrolling into view if needed
      - done scrolling
      - <div aria-hidden=""true"" class=""MuiBackdrop-root MuiModal-backdrop css-919eu4""></div> from <div role=""presentation"" class=""MuiModal-root css-8ndowl"">…</div> subtree intercepts pointer events
    - retrying click action
    - waiting 20ms
    2 × waiting for element to be visible, enabled and stable
      - element is visible, enabled and stable
      - scrolling into view if needed
      - done scrolling
      - <div aria-hidden=""true"" class=""MuiBackdrop-root MuiModal-backdrop css-919eu4""></div> from <div role=""presentation"" class=""MuiModal-root css-8ndowl"">…</div> subtree intercepts pointer events
    - retrying click action
      - waiting 100ms
    5 × waiting for element to be visible, enabled and stable
      - element is visible, enabled and stable
      - scrolling into view if needed
      - done scrolling
      - <div aria-hidden=""true"" class=""MuiBackdrop-root MuiModal-backdrop css-919eu4""></div> from <div role=""presentation"" class=""MuiModal-root css-8ndowl"">…</div> subtree intercepts pointer events
    - retrying click action
      - waiting 500ms
)"
NAV,View More Cars,Not found/visible
NAV,"2018 Maruti Suzuki Ciaz Alpha 1.5 AT

65,000 Km | Petrol | Automatic

₹5.30 L
EMI at ₹10,732",Not found/visible
NAV,"2018 Hyundai Elantra SX (O) 1.5 AT

79,000 Km | Petrol | Automatic

₹9.25 L
EMI at ₹18,730",Not found/visible
NAV,"2014 Maruti Suzuki Swift VDi[2011-2014]

84,000 Km | Diesel | Manual

₹4.50 L
EMI at ₹10,765",Not found/visible
